time	V_out	I_out
0.030400	12293221052079016166729891313512772998365927569525601254291210764288.000000	15328022097615921679336255141916102582909321678026204028887629824.000000
0.030500	14222058553441961646604079473109275323035442719682617408143088418816.000000	50518913100457164788884742205942008144949704403326896854062333952.000000
0.030600	9623142721447548646694584169526404625276719570825428731848797716480.000000	111722522441247028944451546771485388776414454465111058025336012800.000000
0.030700	-9642739986542447784854032702596222887115183894049867233008013017088.000000	201597312970042162997030520499206281767848314774521975708514779136.000000
0.030800	-55659988516360597785114910085173113474117551135325220986255187116032.000000	307506591937688365042739036831074357317838632955858444293490343936.000000
0.030900	-142915523718529313770854533971474595693251261687080892615843561603072.000000	383739902489659144646540703778805092245271980951616712277281996800.000000
0.031000	-282409471619928919327804637684291211401563774000659123458409110700032.000000	325836667132093682476628375396497414864495420992616659650359590912.000000
0.031100	-467962723780752224280658119867863777098828948624901663708065707327488.000000	-58868481785199895985045796976967172659877557167556123384872960000.000000
0.031200	-650682924984149481417865667377451196497950990780989408267325623238656.000000	-1070583624110851250736404272939416415143056315658010510318658125824.000000
0.031300	-698762555371118260053930209727414879940843683179411958335237074714624.000000	-3095287816230446989024972512626461405770890644844330837427991085056.000000
0.031400	-345061991727740644523146409656112834534153987167034562109134776303616.000000	-6485598025064311814963842644744740608456762232657707447836729147392.000000
0.031500	862328433607433142469995422621660133463185573232911253546130676383744.000000	-11257975940162307678015594022441204275074381936681479520331019321344.000000
0.031600	3567043601811012548994470681318420712446993346163393845019354773585920.000000	-16497693332748276410518325110560406221600598329834614211944934014976.000000
0.031700	8490331213554827378658089054051892802772033743765086239868178179031040.000000	-19377410828609681503960631937366616989084925456492446307444764704768.000000
0.031800	16064929808496363234346697514812721997113684760790787670962115864166400.000000	-13800102568251498137639798595463475897427280265183459678841659719680.000000
0.031900	25633671930422272795355856750152275156803452286953773560732081960517632.000000	11043437094292073012846452084987316614287480504794591733557506342912.000000
0.032000	34013652506787419108634166287082067718867749862017168568171588764041216.000000	71349068466604364336730574082860435328323219300315996531431825211392.000000
0.032100	33321618454072933406913443584089226100549773285748290799573642688593920.000000	186804012314039322744224056231966923378698620921467227122838731227136.000000
0.032200	8288123577845153953506049971881661748225024355673463711460712974909440.000000	372976558456299175394996863341339353879099595074061433736824795168768.000000
0.032300	-65961941276448375080249289613069064791176042251038040045365995281317888.000000	623353831611997164808552397700663011011429650732990646032469866840064.000000
0.032400	-223311465060801434177918930291538334195478240965653296145937983759974400.000000	875529265376894796573256147531253892878888875080473570305894973964288.000000
0.032500	-498759839122988733898355772020101499548003343996680870820004664356896768.000000	957502837360784246222753178787168908592580957985839220519582495145984.000000
0.032600	-906056196541064348955826968367095137304875340544393647091005195234050048.000000	516859112538381038470049130015978363583675815450408693772573600645120.000000
0.032700	-1391258593545338103125251738175992120939258004520107405227292344966971392.000000	-1047721018252348563726435883196216978842656761099382148431623898529792.000000
0.032800	-1752674462053323716933158944809110477597670583390392969248284093886496768.000000	-4601002057879521102469158082836306953455565356316984409569885738237952.000000
